model,load,t1_kb,t2_kb,avg_fct
mine,0.1,100.0,500.0,1698162.33
mine,0.1,100.0,750.0,1700839.74
mine,0.1,100.0,1000.0,1699941.35
mine,0.1,100.0,1024.0,1696299.58
mine,0.1,100.0,1250.0,1700531.46
mine,0.1,100.0,1500.0,1699153.75
mine,0.2,100.0,500.0,2123908.05
mine,0.2,100.0,750.0,2132827.7
mine,0.2,100.0,1000.0,2146661.82
mine,0.2,100.0,1024.0,2100070.23
mine,0.2,100.0,1250.0,2147747.51
mine,0.2,100.0,1500.0,2148425.08
mine,0.3,100.0,500.0,2303265.67
mine,0.3,100.0,750.0,2319265.77
mine,0.3,100.0,1000.0,2303314.6
mine,0.3,100.0,1024.0,2298132.68
mine,0.3,100.0,1250.0,2304346.24
mine,0.3,100.0,1500.0,2303949.49
mine,0.4,100.0,500.0,2358657.01
mine,0.4,100.0,750.0,2365955.91
mine,0.4,100.0,1000.0,2359993.11
mine,0.4,100.0,1024.0,2361540.25
mine,0.4,100.0,1250.0,2360616.05
mine,0.4,100.0,1500.0,2353873.1
mine,0.5,100.0,500.0,2685191.14
mine,0.5,100.0,750.0,2690628.54
mine,0.5,100.0,1000.0,2683601.79
mine,0.5,100.0,1024.0,2669309.6
mine,0.5,100.0,1250.0,2697521.98
mine,0.5,100.0,1500.0,2696811.71
mine,0.6,100.0,500.0,2959791.12
mine,0.6,100.0,750.0,2930553.89
mine,0.6,100.0,1000.0,2965582.67
mine,0.6,100.0,1024.0,2953789.16
mine,0.6,100.0,1250.0,2944520.08
mine,0.6,100.0,1500.0,2942144.3
mine,0.7,100.0,500.0,3062901.32
mine,0.7,100.0,750.0,3028427.17
mine,0.7,100.0,1000.0,3050662.89
mine,0.7,100.0,1024.0,3027679.06
mine,0.7,100.0,1250.0,3040042.51
mine,0.7,100.0,1500.0,3045733.72
mine,0.8,100.0,500.0,3787835.04
mine,0.8,100.0,750.0,3778354.86
mine,0.8,100.0,1000.0,3808399.75
mine,0.8,100.0,1024.0,3749941.85
mine,0.8,100.0,1250.0,3790393.35
mine,0.8,100.0,1500.0,3790814.47
mine,0.9,100.0,500.0,3937865.92
mine,0.9,100.0,750.0,3937295.42
mine,0.9,100.0,1000.0,3915759.42
mine,0.9,100.0,1024.0,3923340.4
mine,0.9,100.0,1250.0,3944451.65
mine,0.9,100.0,1500.0,3926008.33
