model,load,t1_kb,t2_kb,avg_fct
cache,0.1,100.0,1024.0,197227.90
cache,0.1,10.0,1024.0,196999.59
cache,0.1,125.0,1024.0,197348.87
cache,0.1,25.0,1024.0,197144.04
cache,0.1,50.0,1024.0,197199.87
cache,0.1,75.0,1024.0,197552.41
cache,0.2,100.0,1024.0,217231.27
cache,0.2,10.0,1024.0,217299.61
cache,0.2,125.0,1024.0,217360.17
cache,0.2,25.0,1024.0,217281.37
cache,0.2,50.0,1024.0,217600.19
cache,0.2,75.0,1024.0,217246.04
cache,0.3,100.0,1024.0,252617.60
cache,0.3,125.0,1024.0,252445.56
cache,0.3,250.0,1024.0,253483.02
cache,0.3,25.0,1024.0,252181.58
cache,0.3,43.0,1024.0,252182.18
cache,0.3,50.0,1024.0,251974.35
cache,0.3,75.0,1024.0,252423.90
cache,0.4,100.0,1024.0,319463.34
cache,0.4,10.0,1024.0,320536.98
cache,0.4,125.0,1024.0,320260.01
cache,0.4,25.0,1024.0,320199.53
cache,0.4,50.0,1024.0,320452.80
cache,0.4,75.0,1024.0,319536.93
cache,0.5,100.0,1024.0,419326.66
cache,0.5,10.0,1024.0,419351.24
cache,0.5,12.5,1024.0,419312.20
cache,0.5,25.0,1024.0,419611.92
cache,0.5,50.0,1024.0,419621.35
cache,0.5,75.0,1024.0,419208.08
cache,0.6,100.0,1024.0,586570.05
cache,0.6,10.0,1024.0,583087.45
cache,0.6,125.0,1024.0,591290.49
cache,0.6,25.0,1024.0,585712.10
cache,0.6,50.0,1024.0,584464.10
cache,0.6,75.0,1024.0,584358.58
cache,0.7,100.0,1024.0,889598.78
cache,0.7,10.0,1024.0,890204.60
cache,0.7,125.0,1024.0,900510.76
cache,0.7,25.0,1024.0,890339.21
cache,0.7,50.0,1024.0,892418.68
cache,0.7,75.0,1024.0,894507.68
cache,0.8,100.0,1024.0,1335746.00
cache,0.8,10.0,1024.0,1333552.66
cache,0.8,125.0,1024.0,1364333.76
cache,0.8,25.0,1024.0,1338648.13
cache,0.8,50.0,1024.0,1328791.37
cache,0.8,75.0,1024.0,1332163.51
cache,0.9,100.0,1024.0,2291338.43
cache,0.9,10.0,1024.0,2003525.11
cache,0.9,125.0,1024.0,2352655.82
cache,0.9,250.0,1024.0,2493766.96
cache,0.9,25.0,1024.0,2279630.41
cache,0.9,50.0,1024.0,2280496.61
cache,0.9,75.0,1024.0,2291239.12
