model,load,t1_kb,t2_kb,avg_fct
search,0.1,100.0,1000.0,422152.65
search,0.1,100.0,1250.0,422467.59
search,0.1,100.0,1500.0,422948.12
search,0.1,100.0,500.0,421617.84
search,0.1,100.0,750.0,422186.21
search,0.2,100.0,1000.0,527457.60
search,0.2,100.0,1250.0,527761.66
search,0.2,100.0,1500.0,528942.80
search,0.2,100.0,500.0,520586.59
search,0.2,100.0,750.0,524340.40
search,0.3,100.0,1000.0,583054.79
search,0.3,100.0,1250.0,585076.95
search,0.3,100.0,1500.0,585448.92
search,0.3,100.0,500.0,580918.11
search,0.3,100.0,750.0,582146.95
search,0.4,100.0,1000.0,723931.12
search,0.4,100.0,1250.0,725752.70
search,0.4,100.0,1500.0,726079.42
search,0.4,100.0,500.0,719209.15
search,0.4,100.0,750.0,723122.89
search,0.5,100.0,1000.0,881922.64
search,0.5,100.0,1250.0,893415.49
search,0.5,100.0,1500.0,890823.57
search,0.5,100.0,500.0,879190.91
search,0.5,100.0,750.0,883359.66
search,0.6,100.0,1000.0,1160393.26
search,0.6,100.0,1250.0,1170796.86
search,0.6,100.0,1500.0,1160480.11
search,0.6,100.0,500.0,1149344.24
search,0.6,100.0,750.0,1153363.58
search,0.7,100.0,1000.0,1550551.07
search,0.7,100.0,1250.0,1555220.77
search,0.7,100.0,1500.0,1559972.32
search,0.7,100.0,500.0,1539890.89
search,0.7,100.0,750.0,1549784.86
search,0.8,100.0,1000.0,1993833.26
search,0.8,100.0,1250.0,1999381.14
search,0.8,100.0,1500.0,2006920.87
search,0.8,100.0,500.0,1990380.82
search,0.8,100.0,750.0,1979591.30
search,0.9,100.0,1000.0,2498904.72
search,0.9,100.0,1250.0,2504169.00
search,0.9,100.0,1500.0,2516023.78
search,0.9,100.0,500.0,2475684.90
search,0.9,100.0,750.0,2491575.03
