model,load,t1_kb,t2_kb,avg_fct
server,0.1,100.0,1024.0,25975.50
server,0.1,125.0,1024.0,26044.96
server,0.1,25.0,1024.0,25985.23
server,0.1,50.0,1024.0,25960.81
server,0.1,75.0,1024.0,25989.23
server,0.2,100.0,1024.0,31435.55
server,0.2,125.0,1024.0,31951.34
server,0.2,25.0,1024.0,31384.85
server,0.2,50.0,1024.0,31358.39
server,0.2,75.0,1024.0,31445.30
server,0.3,100.0,1024.0,33480.86
server,0.3,125.0,1024.0,33542.89
server,0.3,25.0,1024.0,33466.60
server,0.3,50.0,1024.0,33451.55
server,0.3,75.0,1024.0,33471.38
server,0.4,100.0,1024.0,44409.62
server,0.4,125.0,1024.0,45125.32
server,0.4,25.0,1024.0,44517.02
server,0.4,50.0,1024.0,44465.82
server,0.4,75.0,1024.0,44260.01
server,0.5,100.0,1024.0,53438.68
server,0.5,125.0,1024.0,53766.91
server,0.5,25.0,1024.0,53426.55
server,0.5,50.0,1024.0,53434.13
server,0.5,75.0,1024.0,53480.30
server,0.6,100.0,1024.0,75297.33
server,0.6,125.0,1024.0,76044.28
server,0.6,25.0,1024.0,75201.19
server,0.6,50.0,1024.0,75295.65
server,0.6,75.0,1024.0,75201.93
server,0.7,100.0,1024.0,118747.39
server,0.7,125.0,1024.0,120965.72
server,0.7,25.0,1024.0,118579.11
server,0.7,50.0,1024.0,118418.77
server,0.7,75.0,1024.0,118611.49
server,0.8,100.0,1024.0,261174.74
server,0.8,125.0,1024.0,268547.62
server,0.8,25.0,1024.0,259770.39
server,0.8,50.0,1024.0,260593.39
server,0.8,75.0,1024.0,260711.61
server,0.9,100.0,1024.0,871681.27
server,0.9,125.0,1024.0,910475.34
server,0.9,25.0,1024.0,862819.63
server,0.9,50.0,1024.0,862510.70
server,0.9,75.0,1024.0,866827.60
