model,load,t1_kb,t2_kb,avg_fct
cache,0.1,10.0,1024.0,196999.59
cache,0.1,20.0,1024.0,197186.49
cache,0.1,25.0,1024.0,197144.04
cache,0.1,30.0,1024.0,197388.61
cache,0.1,40.0,1024.0,197255.09
cache,0.1,50.0,1024.0,197199.87
cache,0.1,60.0,1024.0,197166.84
cache,0.1,70.0,1024.0,197561.07
cache,0.1,75.0,1024.0,197552.41
cache,0.1,80.0,1024.0,197256.42
cache,0.1,100.0,1024.0,197227.90
cache,0.1,125.0,1024.0,197348.87
cache,0.2,10.0,1024.0,217299.61
cache,0.2,20.0,1024.0,217297.39
cache,0.2,25.0,1024.0,217281.37
cache,0.2,30.0,1024.0,217500.27
cache,0.2,40.0,1024.0,217082.95
cache,0.2,50.0,1024.0,217600.19
cache,0.2,60.0,1024.0,217431.80
cache,0.2,70.0,1024.0,217331.21
cache,0.2,75.0,1024.0,217246.04
cache,0.2,80.0,1024.0,217340.34
cache,0.2,100.0,1024.0,217231.27
cache,0.2,125.0,1024.0,217360.17
cache,0.3,10.0,1024.0,252262.47
cache,0.3,20.0,1024.0,252187.30
cache,0.3,25.0,1024.0,252181.58
cache,0.3,30.0,1024.0,252142.34
cache,0.3,40.0,1024.0,252158.68
cache,0.3,43.0,1024.0,252182.18
cache,0.3,50.0,1024.0,251974.35
cache,0.3,60.0,1024.0,252173.39
cache,0.3,70.0,1024.0,252096.43
cache,0.3,75.0,1024.0,252423.90
cache,0.3,80.0,1024.0,252289.96
cache,0.3,100.0,1024.0,252617.60
cache,0.3,125.0,1024.0,252445.56
cache,0.3,250.0,1024.0,253483.02
cache,0.4,10.0,1024.0,320536.98
cache,0.4,20.0,1024.0,319870.82
cache,0.4,25.0,1024.0,320199.53
cache,0.4,30.0,1024.0,320004.64
cache,0.4,40.0,1024.0,320472.55
cache,0.4,50.0,1024.0,320452.80
cache,0.4,60.0,1024.0,319935.35
cache,0.4,70.0,1024.0,319428.39
cache,0.4,75.0,1024.0,319536.93
cache,0.4,80.0,1024.0,319907.02
cache,0.4,100.0,1024.0,319463.34
cache,0.4,125.0,1024.0,320260.01
cache,0.5,10.0,1024.0,419351.24
cache,0.5,12.5,1024.0,419312.20
cache,0.5,20.0,1024.0,419328.73
cache,0.5,25.0,1024.0,419611.92
cache,0.5,30.0,1024.0,420156.07
cache,0.5,40.0,1024.0,420553.91
cache,0.5,50.0,1024.0,419621.35
cache,0.5,60.0,1024.0,419450.45
cache,0.5,70.0,1024.0,419649.22
cache,0.5,75.0,1024.0,419208.08
cache,0.5,80.0,1024.0,419190.62
cache,0.5,100.0,1024.0,419326.66
cache,0.6,10.0,1024.0,583087.45
cache,0.6,20.0,1024.0,584192.86
cache,0.6,25.0,1024.0,585712.10
cache,0.6,30.0,1024.0,584388.04
cache,0.6,40.0,1024.0,585812.72
cache,0.6,50.0,1024.0,584464.10
cache,0.6,60.0,1024.0,586247.29
cache,0.6,70.0,1024.0,582742.27
cache,0.6,75.0,1024.0,584358.58
cache,0.6,80.0,1024.0,585470.53
cache,0.6,100.0,1024.0,586570.05
cache,0.6,125.0,1024.0,591290.49
cache,0.7,10.0,1024.0,890204.60
cache,0.7,20.0,1024.0,889547.84
cache,0.7,25.0,1024.0,890339.21
cache,0.7,30.0,1024.0,894119.54
cache,0.7,40.0,1024.0,886076.28
cache,0.7,50.0,1024.0,892418.68
cache,0.7,60.0,1024.0,889384.41
cache,0.7,70.0,1024.0,885770.20
cache,0.7,75.0,1024.0,894507.68
cache,0.7,80.0,1024.0,889841.50
cache,0.7,100.0,1024.0,889598.78
cache,0.7,125.0,1024.0,900510.76
cache,0.8,10.0,1024.0,1333552.66
cache,0.8,20.0,1024.0,1331905.16
cache,0.8,25.0,1024.0,1338648.13
cache,0.8,30.0,1024.0,1342642.04
cache,0.8,40.0,1024.0,1340708.51
cache,0.8,50.0,1024.0,1328791.37
cache,0.8,60.0,1024.0,1340164.31
cache,0.8,70.0,1024.0,1336705.81
cache,0.8,75.0,1024.0,1332163.51
cache,0.8,80.0,1024.0,1343426.71
cache,0.8,100.0,1024.0,1335746.00
cache,0.8,125.0,1024.0,1364333.76
cache,0.9,10.0,1024.0,2297024.29
cache,0.9,20.0,1024.0,2284487.06
cache,0.9,25.0,1024.0,2279630.41
cache,0.9,30.0,1024.0,2289494.00
cache,0.9,40.0,1024.0,2289105.20
cache,0.9,50.0,1024.0,2280496.61
cache,0.9,60.0,1024.0,2282123.74
cache,0.9,70.0,1024.0,2290605.08
cache,0.9,75.0,1024.0,2291239.12
cache,0.9,80.0,1024.0,2296036.48
cache,0.9,100.0,1024.0,2291338.43
cache,0.9,125.0,1024.0,2352655.82
cache,0.9,250.0,1024.0,2493766.96
