model,load,t1_kb,t2_kb,avg_fct
server,0.1,10.0,1024.0,25985.78
server,0.1,20.0,1024.0,25978.12
server,0.1,25.0,1024.0,25985.23
server,0.1,30.0,1024.0,25951.96
server,0.1,40.0,1024.0,25978.03
server,0.1,50.0,1024.0,25960.81
server,0.1,60.0,1024.0,25971.72
server,0.1,70.0,1024.0,25999.50
server,0.1,75.0,1024.0,25989.23
server,0.1,80.0,1024.0,25959.73
server,0.1,100.0,1024.0,25975.50
server,0.1,125.0,1024.0,26044.96
server,0.2,10.0,1024.0,31391.87
server,0.2,20.0,1024.0,31358.42
server,0.2,25.0,1024.0,31384.85
server,0.2,30.0,1024.0,31379.65
server,0.2,40.0,1024.0,31405.22
server,0.2,50.0,1024.0,31358.39
server,0.2,60.0,1024.0,31387.65
server,0.2,70.0,1024.0,31436.06
server,0.2,75.0,1024.0,31445.30
server,0.2,80.0,1024.0,31435.57
server,0.2,100.0,1024.0,31435.55
server,0.2,125.0,1024.0,31951.34
server,0.3,10.0,1024.0,33465.21
server,0.3,20.0,1024.0,33486.61
server,0.3,25.0,1024.0,33466.60
server,0.3,30.0,1024.0,33483.99
server,0.3,40.0,1024.0,33484.13
server,0.3,50.0,1024.0,33451.55
server,0.3,60.0,1024.0,33454.87
server,0.3,70.0,1024.0,33476.09
server,0.3,75.0,1024.0,33471.38
server,0.3,80.0,1024.0,33494.81
server,0.3,100.0,1024.0,33480.86
server,0.3,125.0,1024.0,33542.89
server,0.4,10.0,1024.0,44438.74
server,0.4,20.0,1024.0,44578.72
server,0.4,25.0,1024.0,44517.02
server,0.4,30.0,1024.0,44410.67
server,0.4,40.0,1024.0,44359.35
server,0.4,50.0,1024.0,44465.82
server,0.4,60.0,1024.0,44348.79
server,0.4,70.0,1024.0,44286.04
server,0.4,75.0,1024.0,44260.01
server,0.4,80.0,1024.0,44398.71
server,0.4,100.0,1024.0,44409.62
server,0.4,125.0,1024.0,45125.32
server,0.5,10.0,1024.0,53400.72
server,0.5,20.0,1024.0,53473.58
server,0.5,25.0,1024.0,53426.55
server,0.5,30.0,1024.0,53451.26
server,0.5,40.0,1024.0,53381.25
server,0.5,50.0,1024.0,53434.13
server,0.5,60.0,1024.0,53449.75
server,0.5,70.0,1024.0,53477.69
server,0.5,75.0,1024.0,53480.30
server,0.5,80.0,1024.0,53445.56
server,0.5,100.0,1024.0,53438.68
server,0.5,125.0,1024.0,53766.91
server,0.6,10.0,1024.0,75245.23
server,0.6,20.0,1024.0,75226.11
server,0.6,25.0,1024.0,75201.19
server,0.6,30.0,1024.0,75263.49
server,0.6,40.0,1024.0,75313.00
server,0.6,50.0,1024.0,75295.65
server,0.6,60.0,1024.0,75220.10
server,0.6,70.0,1024.0,75251.44
server,0.6,75.0,1024.0,75201.93
server,0.6,80.0,1024.0,75247.88
server,0.6,100.0,1024.0,75297.33
server,0.6,125.0,1024.0,76044.28
server,0.7,10.0,1024.0,118540.53
server,0.7,20.0,1024.0,118529.29
server,0.7,25.0,1024.0,118579.11
server,0.7,30.0,1024.0,118394.59
server,0.7,40.0,1024.0,118513.44
server,0.7,50.0,1024.0,118418.77
server,0.7,60.0,1024.0,118594.20
server,0.7,70.0,1024.0,118561.57
server,0.7,75.0,1024.0,118611.49
server,0.7,80.0,1024.0,118539.98
server,0.7,100.0,1024.0,118747.39
server,0.7,125.0,1024.0,120965.72
server,0.8,10.0,1024.0,260266.11
server,0.8,20.0,1024.0,260107.40
server,0.8,25.0,1024.0,259770.39
server,0.8,30.0,1024.0,260159.80
server,0.8,40.0,1024.0,260235.03
server,0.8,50.0,1024.0,260593.39
server,0.8,60.0,1024.0,260166.30
server,0.8,70.0,1024.0,260769.74
server,0.8,75.0,1024.0,260711.61
server,0.8,80.0,1024.0,260023.76
server,0.8,100.0,1024.0,261174.74
server,0.8,125.0,1024.0,268547.62
server,0.9,10.0,1024.0,863239.14
server,0.9,20.0,1024.0,863874.46
server,0.9,25.0,1024.0,862819.63
server,0.9,30.0,1024.0,864100.18
server,0.9,40.0,1024.0,864617.59
server,0.9,50.0,1024.0,862510.70
server,0.9,60.0,1024.0,865410.90
server,0.9,70.0,1024.0,865516.84
server,0.9,75.0,1024.0,866827.60
server,0.9,80.0,1024.0,867090.77
server,0.9,100.0,1024.0,871681.27
server,0.9,125.0,1024.0,910475.34
