file,model,topo,load,scenario,t1_bytes,t1_kb,t2_bytes,t2_kb,avg_fct,flow_count,skipped_lines
fct_topo1_mine_load0.1_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,mine,1,0.1,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,1699941.349838536,929,0
fct_topo1_mine_load0.1_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,mine,1,0.1,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,1700531.45532831,929,0
fct_topo1_mine_load0.1_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,mine,1,0.1,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,1699153.7459634014,929,0
fct_topo1_mine_load0.1_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,mine,1,0.1,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,1698162.3261571582,929,0
fct_topo1_mine_load0.1_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,mine,1,0.1,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,1700839.7416576964,929,0
fct_topo1_mine_load0.2_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,mine,1,0.2,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,2146661.8228867166,1739,0
fct_topo1_mine_load0.2_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,mine,1,0.2,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,2147747.506612996,1739,0
fct_topo1_mine_load0.2_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,mine,1,0.2,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,2148425.0782058653,1739,0
fct_topo1_mine_load0.2_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,mine,1,0.2,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,2123908.04600345,1739,0
fct_topo1_mine_load0.2_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,mine,1,0.2,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,2132827.6986774006,1739,0
fct_topo1_mine_load0.3_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,mine,1,0.3,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,2303314.5969387754,2548,0
fct_topo1_mine_load0.3_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,mine,1,0.3,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,2304346.235478807,2548,0
fct_topo1_mine_load0.3_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,mine,1,0.3,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,2303949.491365777,2548,0
fct_topo1_mine_load0.3_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,mine,1,0.3,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,2303265.6742543173,2548,0
fct_topo1_mine_load0.3_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,mine,1,0.3,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,2319265.771978022,2548,0
fct_topo1_mine_load0.4_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,mine,1,0.4,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,2359993.1051220964,3358,0
fct_topo1_mine_load0.4_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,mine,1,0.4,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,2360616.0539011317,3358,0
fct_topo1_mine_load0.4_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,mine,1,0.4,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,2353873.0955926147,3358,0
fct_topo1_mine_load0.4_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,mine,1,0.4,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,2358657.006849315,3358,0
fct_topo1_mine_load0.4_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,mine,1,0.4,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,2365955.910065515,3358,0
fct_topo1_mine_load0.5_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,mine,1,0.5,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,2683601.7867082534,4168,0
fct_topo1_mine_load0.5_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,mine,1,0.5,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,2697521.9772072937,4168,0
fct_topo1_mine_load0.5_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,mine,1,0.5,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,2696811.7144913627,4168,0
fct_topo1_mine_load0.5_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,mine,1,0.5,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,2685191.137955854,4168,0
fct_topo1_mine_load0.5_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,mine,1,0.5,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,2690628.535268714,4168,0
fct_topo1_mine_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,mine,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,2965582.671956609,4978,0
fct_topo1_mine_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,mine,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,2944520.0803535557,4978,0
fct_topo1_mine_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,mine,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,2942144.3033346725,4978,0
fct_topo1_mine_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,mine,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,2959791.1233427078,4978,0
fct_topo1_mine_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,mine,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,2930553.8871032544,4978,0
fct_topo1_mine_load0.7_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,mine,1,0.7,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,3050662.8935729093,5788,0
fct_topo1_mine_load0.7_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,mine,1,0.7,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,3040042.5114029027,5788,0
fct_topo1_mine_load0.7_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,mine,1,0.7,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,3045733.723911541,5788,0
fct_topo1_mine_load0.7_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,mine,1,0.7,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,3062901.3232550104,5788,0
